Species
Euphorbia cremersii
Euphorbia cylindrifolia
Euphorbia decaryi
Euphorbia francoisii
Euphorbia moratii
Euphorbia parvicyathophora
Euphorbia quartziticola
Euphorbia tulearensis
Fouquieria fasciculata
Fouquieria purpusii
Dalbergia nigra
Aloe albida
Aloe albiflora
Aloe alfredii
Aloe bakeri
Aloe bellatula
Aloe calcairophila
Aloe compressa
Aloe delphinensis
Aloe descoingsii
Aloe fragilis
Aloe haworthioides
Aloe helenae
Aloe laeta
Aloe parallelifolia
Aloe parvula
Aloe pillansii
Aloe polyphylla
Aloe rauhii
Aloe suzannae
Aloe versicolor
Aloe vossii
Nepenthes khasiana
Nepenthes rajah
Aerangis ellisii
Cattleya jongheana
Cattleya lobata
Dendrobium cruentum
Mexipedium xerophyticum
Paphiopedilum
Peristeria elata
Phragmipedium
Renanthera imschootiana
Dypsis decipiens
Abies guatemalensis
Podocarpus parlatorei
Balmea stormiae
Sarracenia oreophila
Sarracenia rubra ssp. alabamensis
Sarracenia rubra ssp. jonesii
Stangeria eriopus
Ceratozamia
Encephalartos
Microcycas calocoma
Zamia restrepoi
